Symbol,Name,Release Date,Release Time
RPAY,Repay Holdings Corporation,08/09/2021,Post-Market
HPK,"HighPeak Energy, Inc.",08/09/2021,Post-Market
EVCM,EverCommerce Inc.,08/09/2021,Post-Market
SEMR,"SEMrush Holdings, Inc.",08/09/2021,Post-Market
ELY,Callaway Golf Company,08/09/2021,Estimated
BLUE,"bluebird bio, Inc.",08/09/2021,Estimated
TLF,"Tandy Leather Factory, Inc.",08/09/2021,Estimated
BLU,BELLUS Health Inc.,08/09/2021,Estimated
DISH,DISH Network Corporation,08/09/2021,Estimated
RDI,"Reading International, Inc.",08/09/2021,Estimated
EBIX,"Ebix, Inc.",08/09/2021,Estimated
HE,"Hawaiian Electric Industries, Inc.",08/09/2021,Estimated
LGL,"The LGL Group, Inc.",08/09/2021,Estimated
NPK,"National Presto Industries, Inc.",08/09/2021,Estimated
PMD,Psychemedics Corporation,08/09/2021,Estimated
SYNL,Synalloy Corporation,08/09/2021,Estimated
UUU,"Universal Security Instruments, Inc.",08/09/2021,Estimated
WWR,"Westwater Resources, Inc.",08/09/2021,Estimated
MPAA,"Motorcar Parts of America, Inc.",08/09/2021,Estimated
VWTR,"Vidler Water Resources, Inc.",08/09/2021,Estimated
WVFC,WVS Financial Corp.,08/09/2021,Estimated
BYFC,Broadway Financial Corporation,08/09/2021,Estimated
TSBK,"Timberland Bancorp, Inc.",08/09/2021,Estimated
PCTI,"PCTEL, Inc.",08/09/2021,Estimated
PRTK,"Paratek Pharmaceuticals, Inc.",08/09/2021,Estimated
ZN,"Zion Oil & Gas, Inc.",08/09/2021,Estimated
HBM,Hudbay Minerals Inc.,08/09/2021,Estimated
SFBC,"Sound Financial Bancorp, Inc.",08/09/2021,Estimated
ITCI,"Intra-Cellular Therapies, Inc.",08/09/2021,Estimated
XPEL,"XPEL, Inc.",08/09/2021,Estimated
ZIOP,"ZIOPHARM Oncology, Inc.",08/09/2021,Estimated
QUBT,"Quantum Computing, Inc.",08/09/2021,Estimated
VUZI,Vuzix Corporation,08/09/2021,Estimated
CARA,"Cara Therapeutics, Inc.",08/09/2021,Estimated
CORR,"CorEnergy Infrastructure Trust, Inc.",08/09/2021,Estimated
HQI,"HireQuest, Inc.",08/09/2021,Estimated
APPS,"Digital Turbine, Inc.",08/09/2021,Estimated
NBEV,"NewAge, Inc.",08/09/2021,Estimated
SCOR,"comScore, Inc.",08/09/2021,Estimated
EPZM,"Epizyme, Inc.",08/09/2021,Estimated
FBIO,"Fortress Biotech, Inc.",08/09/2021,Estimated
WKHS,Workhorse Group Inc.,08/09/2021,Estimated
APLS,"Apellis Pharmaceuticals, Inc.",08/09/2021,Estimated
RGNX,REGENXBIO Inc.,08/09/2021,Estimated
GATO,"Gatos Silver, Inc.",08/09/2021,Estimated
